new data done

Ultra simple LIDAR data grabber for RPLIDAR.
Version: 1.10.0
RPLIDAR S/N: BE9B9AF2C1EA98D4BEEB9CF031483517
Firmware Ver: 1.25
Hardware Rev: 5
RPLidar health status : 0
   theta: 171.59 Dist: 00000.00 Q: 0 
   theta: 181.89 Dist: 00000.00 Q: 0 
   theta: 192.17 Dist: 00000.00 Q: 0 
   theta: 196.19 Dist: 00575.00 Q: 47 
   theta: 202.45 Dist: 00000.00 Q: 0 
   theta: 207.02 Dist: 00559.00 Q: 47 
   theta: 217.72 Dist: 00543.00 Q: 47 
   theta: 228.81 Dist: 00517.00 Q: 47 
   theta: 253.89 Dist: 00000.00 Q: 0 
   theta: 264.17 Dist: 00000.00 Q: 0 
   theta: 274.45 Dist: 00000.00 Q: 0 
   theta: 284.75 Dist: 00000.00 Q: 0 
   theta: 295.03 Dist: 00000.00 Q: 0 
   theta: 303.39 Dist: 00570.00 Q: 47 
   theta: 305.31 Dist: 00000.00 Q: 0 
   theta: 325.89 Dist: 00000.00 Q: 0 
   theta: 336.17 Dist: 00000.00 Q: 0 
   theta: 346.45 Dist: 00000.00 Q: 0 
S  theta: 356.75 Dist: 00272.00 Q: 47 
   theta: 6.88 Dist: 00000.00 Q: 0 
   theta: 9.22 Dist: 00000.00 Q: 0 
   theta: 11.55 Dist: 00000.00 Q: 0 
   theta: 13.89 Dist: 00000.00 Q: 0 
   theta: 16.22 Dist: 00000.00 Q: 0 
   theta: 18.56 Dist: 00000.00 Q: 0 
   theta: 20.91 Dist: 00000.00 Q: 0 
   theta: 23.23 Dist: 00000.00 Q: 0 
   theta: 25.58 Dist: 00000.00 Q: 0 
   theta: 30.25 Dist: 00000.00 Q: 0 
   theta: 32.59 Dist: 00000.00 Q: 0 
   theta: 48.95 Dist: 00000.00 Q: 0 
   theta: 51.30 Dist: 00000.00 Q: 0 
   theta: 53.62 Dist: 00000.00 Q: 0 
   theta: 55.97 Dist: 00000.00 Q: 0 
   theta: 58.30 Dist: 00000.00 Q: 0 
   theta: 60.64 Dist: 00000.00 Q: 0 
   theta: 61.94 Dist: 00416.00 Q: 47 
   theta: 72.89 Dist: 00403.00 Q: 47 
   theta: 77.00 Dist: 00000.00 Q: 0 
   theta: 79.34 Dist: 00000.00 Q: 0 
   theta: 81.69 Dist: 00000.00 Q: 0 
   theta: 84.02 Dist: 00000.00 Q: 0 
   theta: 86.36 Dist: 00000.00 Q: 0 
   theta: 88.69 Dist: 00000.00 Q: 0 
   theta: 93.38 Dist: 00000.00 Q: 0 
   theta: 102.72 Dist: 00000.00 Q: 0 
   theta: 105.06 Dist: 00000.00 Q: 0 
   theta: 107.39 Dist: 00000.00 Q: 0 
   theta: 165.84 Dist: 00000.00 Q: 0 
   theta: 168.17 Dist: 00000.00 Q: 0 
   theta: 177.73 Dist: 01093.00 Q: 47 
   theta: 187.39 Dist: 00960.00 Q: 47 
   theta: 190.55 Dist: 00961.00 Q: 47 
   theta: 193.67 Dist: 00900.00 Q: 47 
   theta: 196.67 Dist: 00953.00 Q: 47 
   theta: 199.94 Dist: 00939.00 Q: 47 
   theta: 202.95 Dist: 00960.00 Q: 47 
   theta: 203.23 Dist: 00000.00 Q: 0 
   theta: 205.58 Dist: 00000.00 Q: 0 
   theta: 217.27 Dist: 00000.00 Q: 0 
   theta: 219.61 Dist: 00000.00 Q: 0 
new data8389 1611   1366 done

Ultra simple LIDAR data grabber for RPLIDAR.
Version: 1.10.0
RPLIDAR S/N: BE9B9AF2C1EA98D4BEEB9CF031483517
Firmware Ver: 1.25
Hardware Rev: 5
RPLidar health status : 0
   theta: 2.78 Dist: 00412.00 Q: 47 
   theta: 8.59 Dist: 00398.00 Q: 47 
   theta: 14.53 Dist: 00401.00 Q: 47 
   theta: 20.36 Dist: 00403.00 Q: 47 
   theta: 33.62 Dist: 00000.00 Q: 0 
   theta: 39.05 Dist: 00284.00 Q: 47 
   theta: 40.69 Dist: 00000.00 Q: 0 
   theta: 45.12 Dist: 00271.00 Q: 47 
   theta: 61.86 Dist: 00000.00 Q: 0 
   theta: 68.92 Dist: 00000.00 Q: 0 
   theta: 75.98 Dist: 00000.00 Q: 0 
   theta: 78.77 Dist: 00392.00 Q: 47 
   theta: 83.03 Dist: 00000.00 Q: 0 
   theta: 89.39 Dist: 00475.00 Q: 47 
   theta: 90.09 Dist: 00000.00 Q: 0 
